GDPgrowth,PrScEnroll,LifeExp,GDPsh560,Mining,EcoOrg,YrsOpen,Englishpct,Foreignpct,RFEXDist,EquipInv,NEquipInv,stdBMP,OutwarOr,BlMktPm,Area,LatAmerica,SubSahara,HighEnroll,PublEdupct,RevCoup,WarDummy,PolRights,CivlLib,AbsLat,Age,BritCol,Buddha,Catholic,Confuncious,EthnoLFrac,FrenchCol,Hindu,Jewish,Muslim,PrExports,Protestants,RuleofLaw,SpanishCol,Popg,WorkperPop,LabForce
0.01369,0.46,47.3,7.439,0.196,0,0,0,0.836,190,0.0507,0.1907,186.56,1,0.131,2382,0,0,0.003,0.0297,0.123,0,5.8333,5.8889,36.72,84,0,0,0,0,0.43,1,0,0.005,0.99,0.933,0.005,0.33333,0,0.028417,-1.3303,2855.5
0.056195,0.42,45.7,6.2841,0.533,5,0.356,0,0,131,0.1309,0.153,23.388,0,0.072,582,0,1,0,0.03,0,0,2.0556,3,21.536,0,1,0,0.25,0,0.51,0,0,0,0,0.75,0.25,0.83333,0,0.03315,-0.82439,210.92
0.012239,0.65,43.4,6.5468,0.088,5,0.156,0,0.007,187,0.004,0.125,4.4726,1,0.05,475,0,1,0.002,0.0221,0.08,0,6.0556,5.5556,10.73,0,0,0,0.16,0,0.89,1,0,0,0.16,0.915,0.17,0.5,0,0.026343,-0.71662,2587.1
0.022322,0.78,47.3,6.9689,0.168,1,0,0,0,191,0.0498,0.2384,4.4767,1,0.05,342,0,1,0.005,0.0311,0.36,0,6.5556,6.1667,3.684,0,0,0,0.25,0,0.66,1,0,0,0.02,0.71,0.25,0.33333,0,0.027473,-0.77414,455.57
-0.000553,0.07,42.2,5.5175,0.001,0,0,0,0.002,98,0.006,0.0488,70.023,0,0.156,1222,0,1,0.001,0.0095,0.72,1,6.6667,6.6111,9.007,0,0,0,0,0,0.69,0,0,0,0.42,0.983,0,0.5,0,0.022771,-0.67002,12379
-0.001592,0.38,45.2,6.7719,0.016,3,0.222,0,0,248,0.00443,0.08667,588.63,0,0.35,239,0,1,0.002,0.026,0.547,0,5.8889,5,6.694,0,1,0,0.12,0,0.71,0,0,0,0.3,0.994,0.12,0.16667,0,0.027276,-0.83425,2941.3
0.00963,0.47,45,6.4646,0.002,5,0.044,0,0,131,0.028,0.1465,12.448,1,0.014,580,0,1,0.001,0.0361,0.05,0,5.3333,4.8333,0.513,79,1,0,0.28,0,0.83,0,0,0,0.06,0.874,0.38,0.33333,0,0.035654,-0.80833,3712.7
-0.020769,0.52,41,7.0588,0.078,1,0,0,0,120,0.01,0.0611,4.799,0,0.05,587,0,1,0.002,0.0206,0.1,0,5.2222,5.0556,18.958,0,0,0,0.2,0,0.06,1,0,0,0.07,0.928,0.21,0.66667,0,0.026986,-0.6706,2715
0.006819,0.67,37.9,5.9054,0.089,5,0,0,0,116,0.018,0.1143,32.643,1,0.086,118,0,1,0,0.0118,0,0,6.3889,6.5556,15.811,0,1,0,0.2,0,0.62,0,0,0,0.2,0.963,0.55,0.16667,0,0.030129,-0.69796,1756
0.028471,0.47,46.9,6.6733,0.029,3,0.444,0,0.74,123,0.015,0.0684,9.0524,0,0.179,447,0,0,0.005,0.0305,0.08,1,4.1667,4.6111,33.593,0,0,0,0,0,0.53,1,0,0,0.99,0.903,0.01,0.16667,0,0.025559,-1.2698,3265.7
0.011234,0.36,39.7,6.3226,0.208,4,0,0,0.002,277,0.02,0.1,45.184,1,0.086,924,0,1,0.001,0.0136,0.52,1,4.8889,4.0556,6.543,0,1,0,0.2,0,0.87,0,0,0,0.5,0.988,0.2,0.16667,0,0.031227,-1.0421,14921
0.001353,0.27,39.6,6.9246,0.005,4,0,0,0.001,146,0.0114,0.0847,4.4896,0,0.05,197,0,1,0.005,0.0187,0.04,0,4.3333,4,14.772,0,0,0,0.02,0,0.72,1,0,0,0.92,0.811,0,0.16667,0,0.027802,-0.86584,1340.8
0.015113,0.25,40.6,5.743,0.002,0,0,0,0,216,0.0149,0.1656,83.978,0,0.014,945,0,1,0,0.0265,0.05,1,6,6,2.154,0,1,0,0.16,0,0.93,0,0,0,0.35,0.872,0.16,0.5,0,0.033545,-0.59675,5520.3
0.032771,0.66,48.6,6.981,0.079,4,0.133,0,0.986,104,0.033,0.1059,39.592,0,0.848,164,0,0,0.006,0.0369,0,0,5.6111,4.8889,36.816,0,0,0,0,0,0.16,1,0,0.01,0.98,0.808,0.01,0.5,0,0.022372,-1.2737,1181
-0.009365,0.49,43.2,6.5191,0.001,3,0.156,0,0,155,0.0048,0.0371,319.51,1,0.014,236,0,1,0.002,0.019,0.43,1,5.7778,5.6111,0.228,0,1,0,0.33,0,0.9,0,0,0,0.16,0.996,0.33,0.16667,0,0.034838,-0.70259,3250.2
-0.014437,0.6,42.1,6.1312,0.047,3,0,0,0,201,0.0091,0.0569,84.944,1,1.855,2345,0,1,0.001,0.027,0.267,1,6.5556,6.3889,0.569,0,0,0,0.5,0,0.9,0,0,0,0.1,0.932,0.2,0.16667,0,0.027784,-0.74339,7279.9
-0.012079,0.42,41.8,6.8565,0.204,1,0.044,0,0,206,0.0372,0.2803,61.976,1,0.086,753,0,1,0,0.0159,0.05,0,5.1111,5.1111,12.942,76,1,0,0.31,0,0.82,0,0.18,0,0.19,0.998,0.31,0.5,0,0.033396,-1.0153,1138
0.004561,0.96,45.5,6.9177,0.06,3,0,0.074,0,164,0.0086,0.2026,101.34,1,0.086,391,0,1,0,0.0163,0.3,1,4.8333,5.0556,17.876,0,1,0,0.25,0,0.54,0,0,0,0.01,0.656,0.25,0.16667,0,0.030956,-0.81735,1683.4
0.02586,1,71.1,8.894,0.034,5,0.956,0.614,0.243,83,0.08605,0.14745,0.001,1,0,9976,0,0,0.16,0.0365,0,0,1,1,43.727,0,1,0,0.46,0,0.75,0,0,0,0,0.488,0.26,1,0,0.013423,-0.98698,6674.7
0.019617,0.96,61.9,7.6074,0.035,3,0.422,0.016,0.891,91,0.031,0.1161,15.953,0,0.221,51,1,0,0.049,0.035,0,0,1,1,9.941,76,0,0,0.95,0,0.07,0,0,0,0,0.803,0,0.66667,1,0.030175,-1.1967,373.52
0.018829,0.98,52.2,7.0432,0.024,3,0,0.001,0.87,129,0.021,0.1508,38.401,0,0.369,49,1,0,0.013,0.0187,0.36,1,2.1667,2.5556,18.561,0,0,0,0.95,0,0.04,1,0,0,0,0.804,0,0.5,0,0.026829,-1.2708,906.62
0.008475,0.8,50.8,7.2291,0.002,3,0.4,0,0.923,132,0.013,0.0674,33.555,0,0.19,21,1,0,0.011,0.0224,0.56,1,3.2778,3.7778,13.775,0,0,0,0.75,0,0.17,0,0,0,0,0.713,0.2,0.16667,1,0.022344,-1.1202,838.33
0.008223,0.45,45.9,7.4012,0.003,3,0.422,0,0.588,109,0.02,0.0681,41.52,0,0,109,1,0,0.016,0.0156,0.507,1,4,4.1111,14.622,90,0,0,0.95,0,0.64,0,0,0,0,0.72,0.03,0.16667,1,0.027946,-1.1401,1267.7
-0.008706,0.46,42.4,6.7696,0.002,3,0,0,0.075,114,0.0027,0.0683,0.001,0,0,28,1,0,0.004,0.0153,0.16,1,6.5,5.6667,18.932,0,0,0,0.8,0,0.01,1,0,0,0,0.744,0.16,0,0,0.017617,-0.62923,2029.1
0.008658,0.67,46.8,6.9068,0.014,3,0.356,0.003,0.843,156,0.0446,0.0939,10.97,1,0,112,1,0,0.011,0.0211,0.32,1,4.0556,3,14.194,80,0,0,0.97,0,0.16,0,0,0,0,0.919,0.02,0.16667,1,0.033245,-1.141,618.23
0.010634,0.92,63,7.4922,0.089,5,0.422,0.94,0,139,0.046,0.1604,29.048,0,0.02,11,1,0,0.017,0.0201,0,1,1.7222,2.6111,18.055,0,1,0,0.05,0,0.05,0,0,0,0,0.471,0.56,0.16667,0,0.014329,-0.8916,667.89
0.021101,0.8,57.3,7.9367,0.032,3,0.2,0,0.88,71,0.022,0.1739,14.515,0,0,1958,1,0,0.026,0.0134,0,0,3.6667,3.6667,16.759,0,0,0,0.89,0,0.3,0,0,0,0,0.675,0.06,0.66667,1,0.028529,-1.2406,10995
-0.007729,0.66,47.3,7.3011,0.039,3,0.333,0.009,0.646,103,0.0139,0.1262,142.21,0,0.32,130,1,0,0.012,0.0165,0.2,1,5.1111,4.7222,12.211,81,0,0,0.95,0,0.1,0,0,0,0,0.839,0.05,0.16667,1,0.031694,-1.2154,442.82
0.025958,0.96,60.9,7.3159,0.001,3,0.276,0.14,0.695,129,0.0388,0.2231,0.001,0,0,77,1,0,0.046,0.0365,0.16,0,5.7222,4.8333,9.206,0,0,0,0.93,0,0.28,0,0,0,0,0.964,0.06,0.16667,1,0.024991,-1.0978,382.97
0.01958,1,69.8,9.1875,0.018,5,1,0.886,0.089,90,0.0667,0.1451,0.001,0,0,9373,0,0,0.321,0.0383,0,1,1,1,34.36,0,1,0,0.28,0,0.5,0,0,0.02,0,0.298,0.56,1,0,0.011011,-0.90387,73172
0.006421,0.98,65.2,8.0999,0.023,5,0.089,0,0.836,113,0.016,0.12,66.85,0,0.16,2767,1,0,0.109,0.0223,0.96,1,3.9444,3.5556,36.676,0,0,0,0.9,0,0.31,0,0,0.02,0,0.861,0.02,0.33333,1,0.015255,-0.93293,8110.3
0.012652,0.64,42.8,7.0058,0.075,3,0.733,0,0.372,181,0.014,0.1195,236.07,0,0.03,1099,1,0,0.036,0.0158,1.19,0,4.1111,3.6667,15.19,0,0,0,0.95,0,0.68,0,0,0,0,0.969,0.03,0.16667,1,0.025138,-1.0631,1184
0.024047,0.95,54.9,7.4645,0.017,3,0.089,0,0.998,97,0.0646,0.1644,15.577,0,0.24,8512,1,0,0.016,0.0041,0.12,0,3.3889,3.3889,19.557,0,0,0,0.9,0,0.07,0,0,0,0,0.858,0,0.66667,0,0.024529,-1.1348,23339
0.013871,1,57.3,7.9718,0.155,5,0.422,0,0.931,100,0.0152,0.13,331.36,0,0.54,757,1,0,0.042,0.0262,0.2,1,5.7778,4.6667,33.554,0,0,0,0.89,0,0.14,0,0,0,0,0.956,0.11,0.83333,1,0.018302,-1.1215,2480.6
0.021168,0.77,53.2,7.4128,0.062,3,0.089,0,0.98,81,0.016,0.1644,14.663,0,0.184,1139,1,0,0.017,0.023,0,1,2.1111,2.8889,4.788,0,0,0,0.95,0,0.06,0,0,0,0,0.919,0,0.33333,1,0.02444,-1.1953,4823.1
0.022043,0.83,53.4,7.2661,0.098,3,0.844,0,0.714,113,0.027,0.2172,24.051,1,0.201,284,1,0,0.026,0.0155,0.56,0,3.7222,3.1111,2.062,0,0,0,0.95,0,0.53,0,0,0,0,0.983,0,0.66667,1,0.029481,-1.1501,1397.2
0.019138,0.98,63.9,7.0967,0.005,3,0.133,0,0.036,141,0.01,0.107,45.919,0,0.101,407,1,0,0.024,0.0138,0.08,0,4.9444,5.2222,25.583,0,0,0,0.9,0,0.14,0,0,0,0,0.911,0.05,0.16667,1,0.029773,-1.1379,568.57
0.000369,0.83,48,7.5684,0.022,3,0.489,0,0.564,83,0.02,0.1006,33.227,0,0.023,1285,1,0,0.041,0.0245,0.28,1,3.7778,3.7778,11.794,0,0,0,0.95,0,0.59,0,0,0,0,0.985,0,0.33333,1,0.026207,-1.1397,3176.9
0.005947,1,67.3,8.255,0.001,3,0.111,0,1,92,0.015,0.1035,27.939,0,0.021,177,1,0,0.079,0.0241,0,0,4.2222,4.1667,34.822,77,0,0,0.66,0,0.2,0,0,0.02,0,0.796,0.02,0.5,1,0.006722,-0.90288,1028.9
0.001719,1,59.8,8.727,0.11,3,0.311,0,0.969,109,0.035,0.0795,48.903,1,0.304,912,1,0,0.043,0.018,0.32,0,1.2222,2.0556,9.843,87,0,0,0.96,0,0.11,0,0,0,0,0.985,0.02,0.5,1,0.032619,-1.1451,2387.1
0.060658,0.87,66,7.7062,0.001,5,1,0.004,0.98,116,0.0684,0.1307,0.51302,1,0.002,1,0,0,0.044,0.0168,0,0,3.61,2.11,22.704,0,1,0.3,0.05,0.3,0.02,0,0,0,0,0.041,0.05,1,0,0.021764,-0.94315,1197.4
0.015311,0.61,42.5,6.4998,0.017,3,0.022,0,0,94,0.0137,0.1545,21.642,0,0.523,3288,0,0,0.025,0.021,0.12,1,2,3.0556,25.274,0,1,0.01,0.01,0,0.89,0,0.83,0,0.11,0.48,0.01,0.5,0,0.022118,-0.81509,1.9578e+05
0.031091,0.98,71.7,8.1161,0.006,4,0.222,0,0.338,110,0.1112,0.1747,13.851,0,0.21,21,0,0,0.102,0.0368,0,1,2,2.3333,32.084,79,1,0,0.01,0,0.2,0,0,0.82,0.14,0.295,0.01,0.16667,0,0.026064,-1.0244,758.93
0.051833,1,67.7,7.9983,0.003,5,0.733,0,0,118,0.1223,0.2377,0.001,1,0,378,0,0,0.095,0.0317,0,0,1.4444,1,35.712,0,0,0.87,0,0,0.01,0,0,0,0,0.067,0.01,1,0,0.009468,-0.74402,44714
0.019935,0.77,47.2,7.0397,0.037,5,0.667,0,1,116,0.0346,0.142,3.5906,0,0.021,89,0,0,0.006,0.0329,0.2,1,5.7222,5.6667,31.602,0,1,0,0.04,0,0.05,0,0,0,0.92,0.838,0.04,0.16667,0,0.028379,-1.3509,439
0.066179,0.94,54.2,6.7833,0.007,3,0.6,0,0,110,0.062,0.1617,28.196,1,0.602,99,0,0,0.047,0.0352,0.4,0,4.4444,5.1667,37.553,0,0,0.16,0.12,0.6,0,0,0,0,0,0.234,0.12,0.5,0,0.018594,-1.0844,8453.5
0.043088,0.96,54.3,7.2306,0.103,5,1,0,0.309,88,0.04,0.1924,2.1525,1,0.018,330,0,0,0.012,0.0281,0.04,0,3.1111,4.0556,3.269,0,1,0.27,0.01,0.01,0.72,0,0.07,0,0.54,0.926,0.02,0.66667,0,0.026187,-1.061,2817.3
0.026603,0.3,43.3,6.4329,0.006,3,0,0,0,77,0.015,0.1073,35.22,0,0.61,796,0,0,0.01,0.0154,0.32,1,4.9444,4.7778,31.173,0,1,0,0.01,0,0.64,0,0.01,0,0.97,0.428,0.01,0.16667,0,0.030556,-1.0694,17145
0.012533,0.95,53.1,7.0139,0.019,3,0.156,0,0.012,92,0.03,0.1193,20.983,0,0.34,300,0,0,0.127,0.0233,0.44,1,4.2778,4.2778,13.922,0,0,0.02,0.83,0,0.74,0,0,0,0.05,0.924,0.09,0.16667,0,0.027496,-0.96338,10517
0.061622,1,63.7,7.4103,0.001,4,1,0.089,0.713,87,0.1482,0.1742,1.7922,1,0.018,1,0,0,0.064,0.0334,0,0,4.5,4.9444,1.355,0,1,0.46,0,0.15,0.42,0,0.06,0,0.15,0.695,0,1,0,0.016857,-1.1132,536.77
0.021205,0.95,62.3,7.1444,0.014,2,0.4,0.009,0,51,0.011,0.1372,268.47,1,0.871,66,0,0,0.006,0.0382,0.08,1,2.4444,3.4444,6.868,0,1,0.69,0.04,0,0.47,0,0.15,0,0.08,0.986,0.04,0.33333,0,0.019052,-1.0244,3550.2
0.060895,0.96,65.4,7.2145,0.022,3,0.711,0,0.99,116,0.0519,0.1554,0.001,1,0.154,36,0,0,0.046,0.0142,0.05,0,5.1667,4.6667,25.259,0,0,0.31,0.02,0.31,0.42,0,0,0,0,0.163,0.02,1,0,0.021919,-1.093,3617.5
0.045715,0.83,52.7,6.8276,0.017,3,1,0,0.023,75,0.023,0.1578,4.5632,0,0.027,513,0,0,0.019,0.0181,0.44,1,3.9444,3.7778,13.77,0,0,0.95,0,0,0.66,0,0,0,0.04,0.92,0.01,0.5,0,0.025667,-0.67472,13441
0.029221,1,68.8,8.5471,0.004,4,0.778,0,0.98,100,0.10059,0.13391,0.001,0,0,84,0,0,0.08,0.0248,0,0,1,1,48.231,0,0,0,0.85,0,0.13,0,0,0,0,0.198,0.06,1,0,0.002369,-0.73355,3384.4
0.028571,1,69.7,8.6223,0,5,0.778,0,0.345,100,0.06348,0.17082,0.001,1,0,31,0,0,0.09,0.0463,0,0,1,1,50.837,88,0,0,0.75,0,0.55,0,0,0,0,0.238,0.13,1,0,0.002494,-0.95399,3525.7
0.045286,1,68.8,7.6202,0.004,5,1,0,0.003,92,0.0551,0.2578,3.0204,0,0.03,9,0,0,0.009,0.0118,0.12,1,2.1111,2.8333,35.081,0,1,0,0,0,0.35,0,0,0,0.18,0.843,0,0.33333,0,0.006819,-0.89135,234.99
0.022955,1,72.2,8.817,0.006,4,0.778,0,0.005,112,0.0735,0.1926,0.001,0,0,43,0,0,0.104,0.0339,0,0,1,1,55.718,0,0,0,0.01,0,0.05,0,0,0,0,0.46,0.92,1,0,0.003714,-0.78373,2092.1
0.026392,0.97,68.5,8.5912,0.004,4,0.778,0,0,126,0.11696,0.25214,0.001,0,0,338,0,0,0.074,0.0446,0,0,1.8333,1.9444,60.212,76,0,0,0,0,0.16,0,0,0,0,0.333,0.89,1,0,0.004215,-0.78329,2024.1
0.026735,1,70.4,8.6963,0.005,4,0.8,0,1.004,98,0.081263,0.18114,0.001,0,0,552,0,0,0.075,0.0231,0,0,1,1.8611,48.857,90,0,0,0.9,0,0.26,0,0,0.01,0.01,0.253,0.02,1,0,0.007078,-0.8391,19740
0.025723,1,69.4,8.8039,0.005,5,0.8,0,0.949,109,0.077871,0.20793,0.001,1,0,249,0,0,0.061,0.0211,0.08,0,1,1.6389,48.161,76,0,0,0.37,0,0.03,0,0,0,0,0.109,0.45,1,0,0.002908,-0.75035,26175
0.037119,1,68.8,7.6334,0.017,4,0.8,0,0,116,0.06836,0.22514,3.5865,0,0.007,132,0,0,0.039,0.0137,0.2,1,1.9444,2.2222,38.058,86,0,0,0,0,0.1,0,0,0,0.01,0.654,0,0.5,0,0.006873,-0.90017,3384.9
0.034968,1,69.7,8.0542,0.009,5,0.644,0.742,0,119,0.07283,0.18697,0.001,1,0,70,0,0,0.081,0.0286,0,0,1,1.2222,54.611,78,1,0,0.93,0,0.04,0,0,0,0,0.593,0.03,0.83333,0,0.008975,-0.92938,1118.9
0.031578,1,69.4,8.4468,0.002,3,0.8,0,0.006,92,0.06034,0.18906,0.001,1,0,301,0,0,0.066,0.0303,0.04,0,1.2222,1.5556,45.415,81,0,0,1,0,0.04,0,0,0,0,0.168,0,0.83333,0,0.004732,-0.88479,20723
0.023901,1,73.3,8.7167,0.027,4,0.8,0,0,105,0.08081,0.17779,0.001,1,0,37,0,0,0.132,0.0412,0,0,1,1,51.874,76,0,0,0.36,0,0.1,0,0,0,0,0.433,0.27,1,0,0.00854,-1.0362,4073.1
0.03122,1,73.4,8.6405,0.079,4,0.778,0,0,107,0.10136,0.19054,0.001,0,0,324,0,0,0.069,0.0349,0,0,1,1,59.977,80,0,0,0.02,0,0.04,0,0,0,0,0.446,0.9,1,0,0.005482,-0.93496,1405.9
0.040205,1,63.7,7.5305,0.027,4,0.778,0,1,92,0.05694,0.16866,6.7826,0,0.002,92,0,0,0.035,0.0138,0.28,0,2.2222,2.3889,38.816,0,0,0,0.97,0,0.01,0,0,0,0,0.361,0.01,1,0,0.005991,-0.96732,3354.8
0.035708,1,68.9,8.0599,0.006,5,0.778,0,0.728,89,0.04708,0.13032,0.001,0,0,505,0,0,0.04,0.0097,0.08,0,2.3889,2.8889,37.398,77,0,0,0.99,0,0.44,0,0,0,0,0.465,0,0.83333,0,0.00883,-0.96837,11564
0.019165,0.96,73.2,8.9233,0.003,4,0.778,0,0,142,0.051,0.1943,0.001,0,0,450,0,0,0.091,0.0412,0,0,1.0556,1,59.278,90,0,0,0.02,0,0.08,0,0,0,0,0.251,0.95,1,0,0.003828,-0.82691,3271.8
0.016838,1,71.3,9.1734,0.033,5,1,0,0.84,127,0.053,0.2449,0.001,1,0,41,0,0,0.067,0.0297,0,0,1,1,47.408,0,0,0,0.48,0,0.5,0,0,0,0,0.104,0.44,1,0,0.007048,-0.761,2505.1
0.027146,0.75,50.5,7.374,0.02,3,0.133,0,0.014,99,0.039,0.1631,20.274,0,0.749,779,0,0,0.029,0.0268,0.307,1,3.3333,3.8889,41.202,0,0,0,0,0,0.25,0,0,0,1,0.911,0,0.5,0,0.024306,-0.67806,13964
0.020676,0.92,70.8,8.7809,0.022,4,0.778,0.974,0,99,0.0686,0.1158,0.001,1,0,245,0,0,0.09,0.0345,0.24,0,1,1,51.51,0,0,0,0.15,0,0.32,0,0,0.01,0,0.167,0.84,1,0,0.002768,-0.77068,24233
0.018897,1,70.7,8.9721,0.038,5,0.689,0.95,0,129,0.095,0.221,0.001,0,0,7687,0,0,0.131,0.0217,0,0,1,1,32.219,0,1,0,0.26,0,0.32,0,0,0,0,0.811,0.5,1,0,0.016453,-0.9019,4185.8
